iter	Passed	Remaining
886	13624	1735
887	13635	1719
888	13647	1704
889	13660	1688
890	13674	1672
891	13684	1656
892	13696	1641
893	13708	1625
894	13720	1609
895	13732	1593
896	13747	1578
897	13763	1563
898	13777	1547
899	13796	1532
900	13810	1517
901	13825	1502
902	13840	1486
903	13854	1471
904	13868	1455
905	13883	1440
906	13897	1425
907	13915	1409
908	13932	1394
909	13947	1379
910	13972	1364
911	13989	1349
912	14002	1334
913	14017	1318
914	14029	1303
915	14040	1287
916	14052	1271
917	14064	1256
918	14076	1240
919	14088	1225
920	14099	1209
921	14112	1193
922	14126	1178
923	14137	1162
924	14152	1147
925	14168	1132
926	14179	1116
927	14190	1101
928	14203	1085
929	14215	1070
930	14229	1054
931	14242	1039
932	14254	1023
933	14266	1008
934	14279	992
935	14291	977
936	14303	961
937	14314	946
938	14327	930
939	14338	915
940	14350	899
941	14361	884
942	14375	868
943	14387	853
944	14399	838
945	14411	822
946	14422	807
947	14434	791
948	14446	776
949	14458	760
950	14469	745
951	14480	730
952	14491	714
953	14503	699
954	14513	683
955	14524	668
956	14537	653
957	14550	637
958	14562	622
959	14573	607
960	14588	592
961	14601	576
962	14612	561
963	14624	546
964	14636	530
965	14647	515
966	14658	500
967	14670	484
968	14683	469
969	14696	454
970	14707	439
971	14719	424
972	14730	408
973	14742	393
974	14753	378
975	14764	363
976	14776	347
977	14788	332
978	14803	317
979	14815	302
980	14827	287
981	14838	271
982	14850	256
983	14860	241
984	14871	226
985	14883	211
986	14895	196
987	14908	181
988	14920	165
989	14931	150
990	14942	135
991	14954	120
992	14966	105
993	14977	90
994	14988	75
995	14999	60
996	15014	45
997	15028	30
998	15041	15
999	15053	0
